Marco Pantani,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Marco_Pantani%2C_1997.jpg/220px-Marco_Pantani%2C_1997.jpg
Maurice De Waele,//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Maurice_De_Waele.jpg/220px-Maurice_De_Waele.jpg
Maurice Garin,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/1897garin.jpg/220px-1897garin.jpg
Miguel Indurain,//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Miguel_Indurain_en_la_Vuelta_a_Castilla_y_Le%C3%B3n_2009_%28cropped%29.jpg/220px-Miguel_Indurain_en_la_Vuelta_a_Castilla_y_Le%C3%B3n_2009_%28cropped%29.jpg
Nicolas Frantz,//upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Nicolas_Frantz_%281899-1985%29.jpg/220px-Nicolas_Frantz_%281899-1985%29.jpg
Octave Lapize,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Octave_Lapize_on_a_bicycle.jpg/220px-Octave_Lapize_on_a_bicycle.jpg
Odile Defraye,//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Odiel_Defraeye.jpg/220px-Odiel_Defraeye.jpg
Óscar Pereiro,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Oscar_Pereiro_Sio.jpg/220px-Oscar_Pereiro_Sio.jpg
Ottavio Bottecchia,//upload.wikimedia.org/wikipedia/commons/thumb/1/13/Ottavio_Bottecchia_1923.jpg/220px-Ottavio_Bottecchia_1923.jpg
Pedro Delgado,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Charla_de_Pedro_Delgado_sobre_ciclismo_-_25065614392_%28cropped%29.jpg/220px-Charla_de_Pedro_Delgado_sobre_ciclismo_-_25065614392_%28cropped%29.jpg
Philippe Thys,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Philippethys.jpg/220px-Philippethys.jpg
René Pottier,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Ren%C3%A9_Pottier.jpg/220px-Ren%C3%A9_Pottier.jpg
Roger Lapébie,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Roger_Lap%C3%A9bie.jpg/220px-Roger_Lap%C3%A9bie.jpg
Roger Pingeon,//upload.wikimedia.org/wikipedia/commons/3/3a/Roger_Pingeon_%281972%29.jpg
Roger Walkowiak,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Portrait_de_Roger_Walkowiak_%282008%29.jpg/220px-Portrait_de_Roger_Walkowiak_%282008%29.jpg
Romain Maes,//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Romain_Maes.jpg/220px-Romain_Maes.jpg
Stephen Roche,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Roche_-_Tour_de_France_1993_%28cropped%29.jpg/220px-Roche_-_Tour_de_France_1993_%28cropped%29.jpg
Sylvère Maes,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Sylv%C3%A8re_Maes_%28cropped%29.jpg/220px-Sylv%C3%A8re_Maes_%28cropped%29.jpg
Tadej Poga?ar,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Tadej_Poga%C4%8Dar_%282020-02-09%29_-_Volta_a_la_Comunitat_Valenciana.jpg/260px-Tadej_Poga%C4%8Dar_%282020-02-09%29_-_Volta_a_la_Comunitat_Valenciana.jpg
Vincenzo Nibali,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Vincenzo_Nibali_%28cropped%29.jpg/220px-Vincenzo_Nibali_%28cropped%29.jpg
