Year,Date,Stage,Course,Distance,Type,Winner
1969,29/06/1969,1b,Woluwe-Saint-Pierre (Belgium),16 km (9.9 mi),Team time trial,Faema
1969,30/06/1969,2,Woluwe-Saint-Pierre (Belgium) to Maastricht (Netherlands),182 km (113 mi),Plain stage,Julien Stevens (BEL)
1969,01/07/1969,3,Maastricht (Netherlands) to Charleville-Mézières,213 km (132 mi),Plain stage,Eric Leman (BEL)
1969,02/07/1969,4,Charleville-Mézières to Nancy,214 km (133 mi),Plain stage,Rik Van Looy (BEL)
1969,03/07/1969,5,Nancy to Mulhouse,194 km (121 mi),Stage with mountain(s),Joaquim Agostinho (POR)
1969,04/07/1969,6,Mulhouse to Ballon d'Alsace,133 km (83 mi),Stage with mountain(s),Eddy Merckx (BEL)
1969,05/07/1969,7,Belfort to Divonne-les-Bains,241 km (150 mi),Stage with mountain(s),Mariano Díaz (ESP)
1969,06/07/1969,8a,Divonne-les-Bains,9 km (5.6 mi),Individual time trial,Eddy Merckx (BEL)
1969,06/07/1969,8b,Divonne-les-Bains to Thonon-les-Bains,137 km (85 mi),Stage with mountain(s),Michele Dancelli (ITA)
1969,07/07/1969,9,Thonon-les-Bains to Chamonix,111 km (69 mi),Stage with mountain(s),Roger Pingeon (FRA)
1969,08/07/1969,10,Chamonix to Briançon,221 km (137 mi),Stage with mountain(s),Herman Van Springel (BEL)
1969,09/07/1969,11,Briançon to Digne,198 km (123 mi),Stage with mountain(s),Eddy Merckx (BEL)
1969,10/07/1969,12,Digne to Aubagne,161 km (100 mi),Stage with mountain(s),Felice Gimondi (ITA)
1969,11/07/1969,13,Aubagne to La Grande-Motte,196 km (122 mi),Plain stage,Guido Reybrouck (BEL)
1969,12/07/1969,14,La Grande-Motte to Revel,234 km (145 mi),Plain stage,Joaquim Agostinho (POR)
1969,13/07/1969,15,Revel,19 km (12 mi),Individual time trial,Eddy Merckx (BEL)
1969,14/07/1969,16,Castelnaudary to Luchon,199 km (124 mi),Stage with mountain(s),Raymond Delisle (FRA)
1969,15/07/1969,17,Luchon to Mourenx,214 km (133 mi),Stage with mountain(s),Eddy Merckx (BEL)
1969,16/07/1969,18,Mourenx to Bordeaux,201 km (125 mi),Plain stage,Barry Hoban (GBR)
1969,17/07/1969,19,Bordeaux to Brive,193 km (120 mi),Plain stage,Barry Hoban (GBR)
1969,18/07/1969,20,Brive to Puy de Dôme,198 km (123 mi),Stage with mountain(s),Pierre Matignon (FRA)
1969,19/07/1969,21,Clermont-Ferrand to Montargis,329 km (204 mi),Plain stage,Herman Van Springel (BEL)
1969,20/07/1969,22a,Montargis to Créteil,111 km (69 mi),Plain stage,Jozef Spruyt (BEL)
1969,20/07/1969,22b,Créteil to Paris,37 km (23 mi),Individual time trial,Eddy Merckx (BEL)
1970,27/06/1970,P,Limoges,7.4 km (4.6 mi),Individual time trial,Eddy Merckx (BEL)
1970,27/06/1970,1,Limoges to La Rochelle,224.5 km (139.5 mi),Plain stage,Cyrille Guimard (FRA)
1970,28/06/1970,2,La Rochelle to Angers,200 km (120 mi),Plain stage,Italo Zilioli (ITA)
1970,29/06/1970,3a,Angers,10.7 km (6.6 mi),Team time trial,Faemino–Faema
1970,29/06/1970,3b,Angers to Rennes,140 km (87 mi),Plain stage,Marino Basso (ITA)
1970,30/06/1970,4,Rennes to Lisieux,229 km (142 mi),Plain stage,Walter Godefroot (BEL)
1970,01/07/1970,5a,Lisieux to Rouen,94.5 km (58.7 mi),Plain stage,Walter Godefroot (BEL)
1970,01/07/1970,5b,Rouen to Amiens,223 km (139 mi),Plain stage,Jozef Spruyt (BEL)
1970,02/07/1970,6,Amiens to Valenciennes,135.5 km (84.2 mi),Plain stage,Roger De Vlaeminck (BEL)
1970,03/07/1970,7a,Valenciennes to Forest (Belgium),120 km (75 mi),Plain stage,Eddy Merckx (BEL)
1970,03/07/1970,7b,Forest (Belgium),7.2 km (4.5 mi),Individual time trial,José Antonio González (ESP)
1970,04/07/1970,8,Ciney (Belgium) to Felsberg (Saar) [de] (West Germany),232.5 km (144.5 mi),Plain stage,Alain Vasseur (FRA)
1970,05/07/1970,9,Saarlouis (West Germany) to Mulhouse,269.5 km (167.5 mi),Stage with mountain(s),Mogens Frey (DEN)
1970,06/07/1970,10,Belfort to Divonne-les-Bains,241 km (150 mi),Stage with mountain(s),Eddy Merckx (BEL)
1970,07/07/1970,11a,Divonne-les-Bains,8.8 km (5.5 mi),Individual time trial,Eddy Merckx (BEL)
1970,07/07/1970,11b,Divonne-les-Bains to Thonon-les-Bains,139.5 km (86.7 mi),Stage with mountain(s),Marino Basso (ITA)
1970,08/07/1970,12,Thonon-les-Bains to Grenoble,194 km (121 mi),Stage with mountain(s),Eddy Merckx (BEL)
1970,09/07/1970,13,Grenoble to Gap,194.5 km (120.9 mi),Stage with mountain(s),Primo Mori (ITA)
1970,10/07/1970,14,Gap to Mont Ventoux,170 km (110 mi),Stage with mountain(s),Eddy Merckx (BEL)
1970,11/07/1970,15,Carpentras to Montpellier,140.5 km (87.3 mi),Plain stage,Rini Wagtmans (NED)
1970,12/07/1970,16,Montpellier to Toulouse,160 km (99 mi),Plain stage,Albert Van Vlierberghe (BEL)
1970,13/07/1970,17,Toulouse to Saint-Gaudens,190 km (120 mi),Plain stage,Luis Ocaña (ESP)
1970,14/07/1970,18,Saint-Gaudens to La Mongie,135.5 km (84.2 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1970,15/07/1970,19,Bagnères-de-Bigorre to Mourenx,185.5 km (115.3 mi),Stage with mountain(s),Christian Raymond (FRA)
1970,16/07/1970,20a,Mourenx to Bordeaux,223.5 km (138.9 mi),Plain stage,Rolf Wolfshohl (FRG)
1970,16/07/1970,20b,Bordeaux,8.2 km (5.1 mi),Individual time trial,Eddy Merckx (BEL)
1970,17/07/1970,21,Ruffec to Tours,191.5 km (119.0 mi),Plain stage,Marino Basso (ITA)
1970,18/07/1970,22,Tours to Versailles,238.5 km (148.2 mi),Plain stage,Jean-Pierre Danguillaume (FRA)
1970,19/07/1970,23,Versailles to Paris,54 km (34 mi),Individual time trial,Eddy Merckx (BEL)
1971,26/06/1971,P,Mulhouse,11 km (6.8 mi),Team time trial,Molteni
1971,27/06/1971,1a,Mulhouse to Basel (Switzerland),59.5 km (37.0 mi),Flat stage,Eric Leman (BEL)
1971,27/06/1971,1b,Basel (Switzerland) to Freiburg (West Germany),90 km (56 mi),Medium mountain stage,Gerben Karstens (NED)
1971,27/06/1971,1c,Freiburg (West Germany) to Mulhouse,74.5 km (46.3 mi),Flat stage,Albert Van Vlierberghe (BEL)
1971,28/06/1971,2,Mulhouse to Strasbourg,144 km (89 mi),Medium mountain stage,Eddy Merckx (BEL)
1971,29/06/1971,3,Strasbourg to Nancy,165.5 km (102.8 mi),Medium mountain stage,Rini Wagtmans (NED)
1971,30/06/1971,4,Nancy to Marche-en-Famenne (Belgium),242 km (150 mi),Flat stage,Jean-Pierre Genet (FRA)
1971,01/07/1971,5,Dinant (Belgium) to Roubaix,208.5 km (129.6 mi),Flat stage,Pietro Guerra (ITA)
1971,02/07/1971,6a,Roubaix to Amiens,127.5 km (79.2 mi),Flat stage,Eric Leman (BEL)
1971,02/07/1971,6b,Amiens to Le Touquet,133.5 km (83.0 mi),Flat stage,Mauro Simonetti (ITA)
1971,04/07/1971,7,Rungis to Nevers,257.5 km (160.0 mi),Flat stage,Eric Leman (BEL)
1971,05/07/1971,8,Nevers to Puy de Dôme,221 km (137 mi),High mountain stage,Luis Ocaña (ESP)
1971,06/07/1971,9,Clermont-Ferrand to Saint-Étienne,153 km (95 mi),Medium mountain stage,Walter Godefroot (BEL)
1971,07/07/1971,10,Saint-Étienne to Grenoble,188.5 km (117.1 mi),High mountain stage,Bernard Thévenet (FRA)
1971,08/07/1971,11,Grenoble to Orcières-Merlette,134 km (83 mi),High mountain stage,Luis Ocaña (ESP)
1971,10/07/1971,12,Orcières-Merlette to Marseille,251 km (156 mi),Flat stage,Luciano Armani (ITA)
1971,11/07/1971,13,Albi,16.3 km (10.1 mi),Individual time trial,Eddy Merckx (BEL)
1971,12/07/1971,14,Revel to Luchon,214.5 km (133.3 mi),High mountain stage,José Manuel Fuente (ESP)
1971,13/07/1971,15,Luchon to Superbagnères,19.6 km (12.2 mi),High mountain stage,José Manuel Fuente (ESP)
1971,14/07/1971,16a,Luchon to Gourette,145 km (90 mi),High mountain stage,Bernard Labourdette (FRA)
1971,14/07/1971,16b,Eaux-Bonnes[c] to Pau,57.5 km (35.7 mi)[c],Flat stage,Herman Van Springel (BEL)
1971,15/07/1971,17,Mont-de-Marsan to Bordeaux,188 km (117 mi),Flat stage,Eddy Merckx (BEL)
1971,16/07/1971,18,Bordeaux to Poitiers,244 km (152 mi),Flat stage,Jean-Pierre Danguillaume (FRA)
1971,17/07/1971,19,Blois to Versailles,185 km (115 mi),Flat stage,Jan Krekels (NED)
1971,18/07/1971,20,Versailles to Paris,53.8 km (33.4 mi),Individual time trial,Eddy Merckx (BEL)
1972,01/07/1972,P,Angers,7.2 km (4.5 mi),Individual time trial,Eddy Merckx (BEL)
1972,02/07/1972,1,Angers to Saint-Brieuc,235.5 km (146.3 mi),Plain stage,Cyrille Guimard (FRA)
1972,03/07/1972,2,Saint-Brieuc to La Baule,206.5 km (128.3 mi),Plain stage,Rik Van Linden (BEL)
1972,04/07/1972,3a,Pornichet to Saint-Jean-de-Monts,161.0 km (100.0 mi),Plain stage,Ercole Gualazzini (ITA)
1972,04/07/1972,3b,Merlin-Plage,16.2 km (10.1 mi),Team time trial,Molteni
1972,05/07/1972,4,Merlin-Plage to Royan,236.0 km (146.6 mi),Plain stage,Cyrille Guimard (FRA)
1972,06/07/1972,5a,Royan to Bordeaux,133.5 km (83.0 mi),Plain stage,Walter Godefroot (BEL)
1972,06/07/1972,5b,Bordeaux,12.7 km (7.9 mi),Individual time trial,Eddy Merckx (BEL)
1972,07/07/1972,6,Bordeaux to Bayonne,205.0 km (127.4 mi),Plain stage,Leo Duyndam (NED)
1972,09/07/1972,7,Bayonne to Pau,220.5 km (137.0 mi),Stage with mountain(s),Yves Hézard (FRA)
1972,10/07/1972,8,Pau to Luchon,163.5 km (101.6 mi),Stage with mountain(s),Eddy Merckx (BEL)
1972,11/07/1972,9,Luchon to Colomiers,179.0 km (111.2 mi),Hilly stage,Jos Huysmans (BEL)
1972,12/07/1972,10,Castres to La Grande-Motte,210.0 km (130.5 mi),Plain stage,Willy Teirlinck (BEL)
1972,13/07/1972,11,Carnon-Plage to Mont Ventoux,207.0 km (128.6 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1972,14/07/1972,12,Carpentras to Orcières-Merlette,192.0 km (119.3 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1972,16/07/1972,13,Orcières-Merlette to Briançon,201.0 km (124.9 mi),Stage with mountain(s),Eddy Merckx (BEL)
1972,17/07/1972,14a,Briançon to Valloire,51.0 km (31.7 mi),Stage with mountain(s),Eddy Merckx (BEL)
1972,17/07/1972,14b,Valloire to Aix-les-Bains,151.0 km (93.8 mi),Stage with mountain(s),Cyrille Guimard (FRA)
1972,18/07/1972,15,Aix-les-Bains to Le Revard,28.0 km (17.4 mi),Stage with mountain(s),Cyrille Guimard (FRA)
1972,19/07/1972,16,Aix-les-Bains to Pontarlier,198.5 km (123.3 mi),Hilly stage,Willy Teirlinck (BEL)
1972,20/07/1972,17,Pontarlier to Ballon d'Alsace,213.0 km (132.4 mi),Hilly stage,Bernard Thévenet (FRA)
1972,21/07/1972,18,Vesoul to Auxerre,257.5 km (160.0 mi),Plain stage,Marinus Wagtmans (NED)
1972,22/07/1972,19,Auxerre to Versailles,230.0 km (142.9 mi),Plain stage,Joseph Bruyère (BEL)
1972,23/07/1972,20a,Versailles,42.0 km (26.1 mi),Individual time trial,Eddy Merckx (BEL)
1972,23/07/1972,20b,Versailles to Paris,89.0 km (55.3 mi),Plain stage,Willy Teirlinck (BEL)
1973,30/06/1973,P,Scheveningen (Netherlands),7.1 km (4.4 mi),Individual time trial,Joop Zoetemelk (NED)
1973,01/07/1973,1a,Scheveningen (Netherlands) to Rotterdam (Netherlands),84 km (52 mi),Plain stage,Willy Teirlinck (BEL)
1973,01/07/1973,1b,Rotterdam (Netherlands) to Sint-Niklaas (Belgium),137.5 km (85.4 mi),Plain stage,José Catieau (FRA)
1973,02/07/1973,2a,Sint-Niklaas (Belgium),12.4 km (7.7 mi),Team time trial,Watney–Maes Pils
1973,02/07/1973,2b,Sint-Niklaas (Belgium) to Roubaix,138 km (86 mi),Plain stage,Eddy Verstraeten (BEL)
1973,03/07/1973,3,Roubaix to Reims,226 km (140 mi),Plain stage,Cyrille Guimard (FRA)
1973,04/07/1973,4,Reims to Nancy,214 km (133 mi),Plain stage,Joop Zoetemelk (NED)
1973,05/07/1973,5,Nancy to Mulhouse,188 km (117 mi),Stage with mountain(s),Walter Godefroot (BEL)
1973,06/07/1973,6,Mulhouse to Divonne-les-Bains,244.5 km (151.9 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA)
1973,08/07/1973,7a,Divonne-les-Bains to Gaillard,86.5 km (53.7 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,08/07/1973,7b,Gaillard to Méribel,150.5 km (93.5 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1973,09/07/1973,8,Moûtiers to Les Orres,237.5 km (147.6 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,10/07/1973,9,Embrun to Nice,234.5 km (145.7 mi),Stage with mountain(s),Vicente López Carril (ESP)
1973,11/07/1973,10,Nice to Aubagne,222.5 km (138.3 mi),Stage with mountain(s),Michael Wright (GBR)
1973,12/07/1973,11,Montpellier to Argelès-sur-Mer,238 km (148 mi),Plain stage,Barry Hoban (GBR)
1973,13/07/1973,12a,Perpignan to Thuir,28.3 km (17.6 mi),Individual time trial,Luis Ocaña (ESP)
1973,13/07/1973,12b,Thuir to Bolquères Pyrenees 2000 [fr],76 km (47 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1973,15/07/1973,13,Bourg-Madame to Luchon,235 km (146 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,16/07/1973,14,Luchon to Pau,227.5 km (141.4 mi),Stage with mountain(s),Pedro Torres (ESP)
1973,17/07/1973,15,Pau to Fleurance,137 km (85 mi),Plain stage,Wilfried David (BEL)
1973,18/07/1973,16a,Fleurance to Bordeaux,210 km (130 mi),Plain stage,Walter Godefroot (BEL)
1973,18/07/1973,16b,Bordeaux,12.4 km (7.7 mi),Individual time trial,Joaquim Agostinho (POR)
1973,19/07/1973,17,Sainte-Foy-la-Grande to Brive-la-Gaillarde,248 km (154 mi),Plain stage,Claude Tollet (FRA)
1973,20/07/1973,18,Brive-la-Gaillarde to Puy-de-Dôme,216.5 km (134.5 mi),Stage with mountain(s),Luis Ocaña (ESP)
1973,21/07/1973,19,Bourges to Versailles,233.5 km (145.1 mi),Plain stage,Barry Hoban (GBR)
1973,22/07/1973,20a,Versailles,16 km (9.9 mi),Individual time trial,Luis Ocaña (ESP)
1973,22/07/1973,20b,Versailles to Paris,89 km (55 mi),Plain stage,Bernard Thévenet (FRA)
1974,27/06/1974,P,Brest,7 km (4.3 mi),Individual time trial,Eddy Merckx (BEL)
1974,28/06/1974,1,Brest to Saint-Pol-de-Léon,144 km (89 mi),Plain stage,Ercole Gualazzini (ITA)
1974,29/06/1974,2,Plymouth (United Kingdom),164 km (102 mi),Plain stage,Henk Poppe (NED)
1974,30/06/1974,3,Morlaix to Saint-Malo,190 km (120 mi),Plain stage,Patrick Sercu (BEL)
1974,01/07/1974,4,Saint-Malo to Caen,184 km (114 mi),Plain stage,Patrick Sercu (BEL)
1974,02/07/1974,5,Caen to Dieppe,165 km (103 mi),Plain stage,Ronald de Witte (BEL)
1974,03/07/1974,6a,Dieppe to Harelbeke (Belgium),239 km (149 mi),Plain stage,Jean-Luc Molinéris (FRA)
1974,03/07/1974,6b,Harelbeke (Belgium),9 km (5.6 mi),Team time trial,Molteni
1974,04/07/1974,7,Mons (Belgium) to Châlons-sur-Marne,221 km (137 mi),Plain stage,Eddy Merckx (BEL)
1974,05/07/1974,8a,Châlons-sur-Marne to Chaumont,136 km (85 mi),Plain stage,Cyrille Guimard (FRA)
1974,05/07/1974,8b,Chaumont to Besançon,152 km (94 mi),Plain stage,Patrick Sercu (BEL)
1974,06/07/1974,9,Besançon to Gaillard,241 km (150 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,07/07/1974,10,Gaillard to Aix-les-Bains,131 km (81 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,08/07/1974,11,Aix-les-Bains to Serre Chevalier,199 km (124 mi),Stage with mountain(s),Vicente López Carril (ESP)
1974,10/07/1974,12,Savines-le-Lac to Orange,231 km (144 mi),Stage with mountain(s),Jos Spruyt (BEL)
1974,11/07/1974,13,Avignon to Montpellier,126 km (78 mi),Plain stage,Barry Hoban (GBR)
1974,12/07/1974,14,Lodève to Colomiers,249 km (155 mi),Plain stage,Jean-Pierre Genet (FRA)
1974,14/07/1974,15,Colomiers to La Seu d'Urgell (Spain),225 km (140 mi),Stage with mountain(s),Eddy Merckx (BEL)
1974,15/07/1974,16,La Seu d'Urgell to Saint-Lary-Soulan Pla d'Adet,209 km (130 mi),Stage with mountain(s),Raymond Poulidor (FRA)
1974,16/07/1974,17,Saint-Lary-Soulan to La Mongie,119 km (74 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA)
1974,17/07/1974,18,Bagnères-de-Bigorre to Pau,141 km (88 mi),Stage with mountain(s),Jean-Pierre Danguillaume (FRA)
1974,18/07/1974,19a,Pau to Bordeaux,196 km (122 mi),Plain stage,Francis Campaner (FRA)
1974,18/07/1974,19b,Bordeaux,12 km (7.5 mi),Individual time trial,Eddy Merckx (BEL)
1974,19/07/1974,20,Saint-Gilles-Croix-de-Vie to Nantes,120 km (75 mi),Plain stage,Gerard Vianen (NED)
1974,20/07/1974,21a,Vouvray to Orléans,113 km (70 mi),Plain stage,Eddy Merckx (BEL)
1974,20/07/1974,21b,Orléans,37 km (23 mi),Individual time trial,Michel Pollentier (BEL)
1974,21/07/1974,22,Orléans to Paris,146 km (91 mi),Plain stage,Eddy Merckx (BEL)
1975,26/06/1975,P,Charleroi (Belgium),6 km (3.7 mi),Individual time trial,Francesco Moser (ITA)
1975,27/06/1975,1a,Charleroi (Belgium) to Molenbeek (Belgium),94 km (58 mi),Plain stage,Cees Priem (NED)
1975,27/06/1975,1b,Molenbeek (Belgium) to Roubaix,109 km (68 mi),Plain stage,Rik Van Linden (BEL)
1975,28/06/1975,2,Roubaix to Amiens,121 km (75 mi),Plain stage,Ronald de Witte (BEL)
1975,29/06/1975,3,Amiens to Versailles,170 km (110 mi),Plain stage,Karel Rottiers (BEL)
1975,30/06/1975,4,Versailles to Le Mans,223 km (139 mi),Plain stage,Jacques Esclassan (FRA)
1975,02/07/1975,5,Sablé-sur-Sarthe to Merlin-Plage,222 km (138 mi),Plain stage,Theo Smit (NED)
1975,02/07/1975,6,Merlin-Plage,16 km (9.9 mi),Individual time trial,Eddy Merckx (BEL)
1975,03/07/1975,7,Saint-Gilles-Croix-de-Vie to Angoulême,236 km (147 mi),Plain stage,Francesco Moser (ITA)
1975,04/07/1975,8,Angoulême to Bordeaux,134 km (83 mi),Plain stage,Barry Hoban (GBR)
1975,05/07/1975,9a,Langon to Fleurance,131 km (81 mi),Plain stage,Theo Smit (NED)
1975,05/07/1975,9b,Fleurance to Auch,37 km (23 mi),Individual time trial,Eddy Merckx (BEL)
1975,07/07/1975,10,Auch to Pau,206 km (128 mi),Stage with mountain(s),Felice Gimondi (ITA)
1975,08/07/1975,11,Pau to Saint-Lary-Soulan Pla d'Adet,160 km (99 mi),Stage with mountain(s),Joop Zoetemelk (NED)
1975,09/07/1975,12,Tarbes to Albi,242 km (150 mi),Plain stage,Gerrie Knetemann (NED)
1975,10/07/1975,13,Albi to Super-Lioran,260 km (160 mi),Stage with mountain(s),Michel Pollentier (BEL)
1975,11/07/1975,14,Aurillac to Puy de Dôme,174 km (108 mi),Stage with mountain(s),Lucien Van Impe (BEL)
1975,13/07/1975,15,Nice to Pra-Loup,217 km (135 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1975,14/07/1975,16,Barcelonnette to Serre Chevalier,107 km (66 mi),Stage with mountain(s),Bernard Thévenet (FRA)
1975,15/07/1975,17,Valloire to Morzine Avoriaz,225 km (140 mi),Stage with mountain(s),Vicente López Carril (ESP)
1975,16/07/1975,18,Morzine to Châtel,40 km (25 mi),Individual time trial,Lucien Van Impe (BEL)
1975,17/07/1975,19,Thonon-les-Bains to Chalon-sur-Saône,229 km (142 mi),Stage with mountain(s),Rik Van Linden (BEL)
1975,18/07/1975,20,Pouilly-en-Auxois to Melun,256 km (159 mi),Plain stage,Giacinto Santambrogio (ITA)
1975,19/07/1975,21,Melun to Senlis,220 km (140 mi),Plain stage,Rik Van Linden (BEL)
1975,20/07/1975,22,Paris to Paris (Champs-Élysées),164 km (102 mi),Plain stage,Walter Godefroot (BEL)
1976,24/06/1976,P,Saint-Jean-de-Monts,8 km (5 mi),Individual time trial,Freddy Maertens (BEL)
1976,25/06/1976,1,Saint-Jean-de-Monts to Angers,173 km (107 mi),Flat Stage,Freddy Maertens (BEL)
1976,26/06/1976,2,Angers to Caen,237 km (147 mi),Flat Stage,Giovanni Battaglin (ITA)
1976,27/06/1976,3,Le Touquet-Paris-Plage to Le Touquet-Paris-Plage,37 km (23 mi),Individual time trial,Freddy Maertens (BEL)
1976,28/06/1976,4,Le Touquet-Paris-Plage to Bornem (Belgium),258 km (160 mi),Flat Stage,Hennie Kuiper (NED)
1976,29/06/1976,5a,Leuven (Belgium) to Leuven (Belgium),4 km (2 mi),Team time trial,TI–Raleigh–Campagnolo
1976,29/06/1976,5b,Leuven (Belgium) to Verviers (Belgium),144 km (89 mi),Half Stage,Miguel María Lasa (ESP)
1976,30/06/1976,6,Bastogne to Nancy,209 km (130 mi),Flat Stage,Aldo Parecchini (ITA)
1976,01/07/1976,7,Nancy to Mulhouse,206 km (128 mi),Hilly Stage,Freddy Maertens (BEL)
1976,02/07/1976,8,Valentigney to Divonne-les-Bains,220 km (137 mi),Hilly Stage,Jacques Esclassan (FRA)
1976,04/07/1976,9,Divonne-les-Bains to Alpe d'Huez,258 km (160 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,05/07/1976,10,Le Bourg-d'Oisans to Montgenèvre,166 km (103 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,06/07/1976,11,Montgenèvre to Manosque,224 km (139 mi),Mountain Stage,José Viejo (ESP)
1976,08/07/1976,12,Le Barcarès to Bolquères Pyrenees 2000 [fr],205 km (127 mi),Mountain Stage,Raymond Delisle (FRA)
1976,09/07/1976,13,Font-Romeu-Odeillo-Via to Saint-Gaudens,188 km (117 mi),Mountain Stage,Willy Teirlinck (BEL)[13]
1976,10/07/1976,14,Saint-Gaudens to Saint-Lary-Soulan,139 km (86 mi),Mountain Stage,Lucien Van Impe (BEL)
1976,11/07/1976,15,Saint-Lary-Soulan to Pau,195 km (121 mi),Mountain Stage,Wladimiro Panizza (ITA)
1976,12/07/1976,16,Pau to Fleurance,152 km (94 mi),Flat Stage,Michel Pollentier (BEL)
1976,13/07/1976,17,Fleurance to Auch,39 km (24 mi),Individual time trial,Ferdinand Bracke (BEL)
1976,14/07/1976,18a,Auch to Langon,86 km (53 mi),Half Stage,Freddy Maertens (BEL)
1976,14/07/1976,18b,Langon to Lacanau,123 km (76 mi),Half Stage,Freddy Maertens (BEL)
1976,14/07/1976,18c,Lacanau to Bordeaux,70 km (43 mi),Half Stage,Gerben Karstens (NED)
1976,15/07/1976,19,Sainte-Foy-la-Grande to Tulle,220 km (137 mi),Flat Stage,Hubert Mathis (FRA)
1976,16/07/1976,20,Tulle to Puy-de-Dôme,220 km (137 mi),Mountain Stage,Joop Zoetemelk (NED)
1976,17/07/1976,21,Montargis to Versailles,145 km (90 mi),Flat Stage,Freddy Maertens (BEL)
1976,18/07/1976,22a,Paris,6 km (4 mi),Individual time trial,Freddy Maertens (BEL)
1976,18/07/1976,22b,Paris to Paris (Champs-Élysées),91 km (57 mi),Half Stage,Gerben Karstens (NED)
1977,30/06/1977,P,Fleurance,5 km (3.1 mi),Individual time trial,Dietrich Thurau (FRG)
1977,01/07/1977,1,Fleurance to Auch,237 km (147 mi),Plain stage,Pierre-Raymond Villemiane (FRA)
1977,02/07/1977,2,Auch to Pau,253 km (157 mi),Stage with mountain(s),Dietrich Thurau (FRG)
1977,03/07/1977,3,Oloron-Sainte-Marie to Vitoria-Gasteiz (Spain),248 km (154 mi),Stage with mountain(s),José Nazabal (ESP)
1977,04/07/1977,4,Vitoria-Gasteiz (Spain) to Seignosse le Penon,256 km (159 mi),Stage with mountain(s),Régis Delépine (FRA)
1977,05/07/1977,5a,Morcenx to Bordeaux,139 km (86 mi),Plain stage,Jacques Esclassan (FRA)
1977,05/07/1977,5b,Bordeaux,30 km (19 mi),Individual time trial,Dietrich Thurau (FRG)
1977,07/07/1977,6,Bordeaux to Limoges,225 km (140 mi),Plain stage,Jan Raas (NED)
1977,08/07/1977,7a,Jaunay-Clan to Angers,140 km (87 mi),Plain stage,Patrick Sercu (BEL)
1977,08/07/1977,7b,Angers,4 km (2.5 mi),Team time trial,Fiat France
1977,09/07/1977,8,Angers to Lorient,247 km (153 mi),Plain stage,Giacinto Santambrogio (ITA)
1977,10/07/1977,9,Lorient to Rennes,187 km (116 mi),Stage with mountain(s),Klaus-Peter Thaler (FRG)
1977,11/07/1977,10,Bagnoles-de-l'Orne to Rouen,174 km (108 mi),Plain stage,Fedor den Hertog (NED)
1977,12/07/1977,11,Rouen to Roubaix,242 km (150 mi),Plain stage,Jean-Pierre Danguillaume (FRA)
1977,13/07/1977,12,Roubaix to Charleroi (Belgium),193 km (120 mi),Stage with mountain(s),Patrick Sercu (BEL)
1977,14/07/1977,13a,Freiburg (West Germany),46 km (29 mi),Plain stage,Patrick Sercu (BEL)
1977,14/07/1977,13b,Altkirch to Besançon,160 km (99 mi),Plain stage,Jean-Pierre Danguillaume (FRA)
1977,16/07/1977,14,Besançon to Thonon-les-Bains,230 km (140 mi),Stage with mountain(s),Bernard Quilfen (FRA)
1977,17/07/1977,15a,Thonon-les-Bains to Morzine,105 km (65 mi),Stage with mountain(s),Paul Wellens (BEL)
1977,17/07/1977,15b,Morzine to Avoriaz,14 km (8.7 mi),Individual time trial,Lucien Van Impe (BEL)[a]
1977,18/07/1977,16,Morzine to Chamonix,121 km (75 mi),Stage with mountain(s),Dietrich Thurau (FRG)
1977,19/07/1977,17,Chamonix to Alpe d'Huez,185 km (115 mi),Stage with mountain(s),Hennie Kuiper (NED)
1977,20/07/1977,18,Rossignol Voiron to Saint-Étienne,199 km (124 mi),Stage with mountain(s),no winner[b]
1977,21/07/1977,19,Saint-Trivier-sur-Moignans to Dijon,172 km (107 mi),Plain stage,Gerrie Knetemann (NED)
1977,22/07/1977,20,Dijon,50 km (31 mi),Individual time trial,Bernard Thévenet (FRA)
1977,23/07/1977,21,Montereau-Fault-Yonne to Versailles,142 km (88 mi),Plain stage,Gerrie Knetemann (NED)
1977,24/07/1977,22a,Paris,6 km (3.7 mi),Individual time trial,Dietrich Thurau (FRG)
1977,24/07/1977,22b,Paris (Champs-Élysées),91 km (57 mi),Plain stage,Alain Meslet (FRA)
1978,29/06/1978,P,Leiden (Netherlands),5 km (3.1 mi),Individual time trial,Jan Raas (NED)
1978,30/06/1978,1a,Leiden to Sint Willebrord (Netherlands),135 km (84 mi),Plain stage,Jan Raas (NED)
