Year,Date,Stage,Course,Distance,Type,Winner
1913,23/07/1913,13,Belfort to Longwy,325 km (202 mi),Stage with mountain(s),François Faber (LUX)
1913,25/07/1913,14,Longwy to Dunkerque,393 km (244 mi),Plain stage,Marcel Buysse (BEL)
1913,27/07/1913,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Marcel Buysse (BEL)
1914,28/06/1914,1,Paris to Le Havre,388 km (241 mi),Plain stage,Philippe Thys (BEL)
1914,30/06/1914,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Jean Rossius (BEL)
1914,02/07/1914,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Emile Engel (FRA)
1914,04/07/1914,4,Brest to La Rochelle,470 km (290 mi),Plain stage,Oscar Egg (SUI)
1914,06/07/1914,5,La Rochelle to Bayonne,376 km (234 mi),Plain stage,Oscar Egg (SUI)
1914,08/07/1914,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Firmin Lambot (BEL)
1914,10/07/1914,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1914,12/07/1914,8,Perpignan to Marseille,370 km (230 mi),Plain stage,Octave Lapize (FRA)
1914,14/07/1914,9,Marseille to Nice,338 km (210 mi),Stage with mountain(s),Jean Rossius (BEL)
1914,16/07/1914,10,Nice to Grenoble,323 km (201 mi),Stage with mountain(s),Henri Pélissier (FRA)
1914,18/07/1914,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Gustave Garrigou (FRA)
1914,20/07/1914,12,Geneva to Belfort,325 km (202 mi),Stage with mountain(s),Henri Pélissier (FRA)
1914,22/07/1914,13,Belfort to Longwy,325 km (202 mi),Stage with mountain(s),François Faber (LUX)
1914,24/07/1914,14,Longwy to Dunkerque,390 km (240 mi),Plain stage,François Faber (LUX)
1914,26/07/1914,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Henri Pélissier (FRA)
1919,29/06/1919,1,Paris to Le Havre,388 km (241 mi),Plain stage,Jean Rossius (BEL)
1919,01/07/1919,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Henri Pélissier (FRA)
1919,03/07/1919,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Francis Pélissier (FRA)
1919,05/07/1919,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Jean Alavoine (FRA)
1919,07/07/1919,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Jean Alavoine (FRA)
1919,09/07/1919,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain,Honore Barthelemy (FRA)
1919,11/07/1919,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain,Jean Alavoine (FRA)
1919,13/07/1919,8,Perpignan to Marseille,370 km (230 mi),Plain stage,Jean Alavoine (FRA)
1919,15/07/1919,9,Marseille to Nice,338 km (210 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,17/07/1919,10,Nice to Grenoble,333 km (207 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,19/07/1919,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain,Honoré Barthélemy (FRA)
1919,21/07/1919,12,Geneva to Strasbourg,371 km (231 mi),Stage with mountain,Luigi Lucotti (ITA)
1919,23/07/1919,13,Strasbourg to Metz,315 km (196 mi),Plain stage,Luigi Lucotti (ITA)
1919,25/07/1919,14,Metz to Dunkerque,468 km (291 mi),Plain stage,Firmin Lambot (BEL)
1919,27/07/1919,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Jean Alavoine (FRA)
1920,27/06/1920,1,Paris to Le Havre,388 km (241 mi),Plain stage,Louis Mottiat (BEL)
1920,29/06/1920,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Philippe Thys (BEL)
1920,01/07/1920,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pélissier (FRA)
1920,03/07/1920,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Henri Pélissier (FRA)
1920,05/07/1920,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Firmin Lambot (BEL)
1920,07/07/1920,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain,Firmin Lambot (BEL)
1920,09/07/1920,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain,Jean Rossius (BEL)
1920,11/07/1920,8,Perpignan to Aix-en-Provence,325 km (202 mi),Plain stage,Louis Heusghem (BEL)
1920,14/07/1920,9,Aix-en-Provence to Nice,356 km (221 mi),Stage with mountain,Philippe Thys (BEL)
1920,16/07/1920,10,Nice to Grenoble,333 km (207 mi),Stage with mountain,Hector Heusghem (BEL)
1920,18/07/1920,11,Grenoble to Gex,362 km (225 mi),Stage with mountain,Léon Scieur (BEL)
1920,20/07/1920,12,Gex to Strasbourg,354 km (220 mi),Plain stage,Philippe Thys (BEL)
1920,22/07/1920,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Philippe Thys (BEL)
1920,24/07/1920,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1920,27/07/1920,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Jean Rossius (BEL)
1921,26/06/1921,1,Paris to Le Havre,388 km (241 mi),Plain stage,Louis Mottiat (BEL)
1921,28/06/1921,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Romain Bellenger (FRA)
1921,30/06/1921,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Leon Scieur (BEL)
1921,02/07/1921,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Louis Mottiat (BEL)
1921,04/07/1921,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Louis Mottiat (BEL)
1921,06/07/1921,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Hector Heusghem (BEL)
1921,08/07/1921,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Louis Mottiat (BEL)
1921,10/07/1921,8,Perpignan to Toulon,411 km (255 mi),Plain stage,Luigi Lucotti (ITA)
1921,12/07/1921,9,Toulon to Nice,272 km (169 mi),Stage with mountain(s),Firmin Lambot (BEL)
1921,14/07/1921,10,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Leon Scieur (BEL)
1921,16/07/1921,11,Grenoble to Geneva,325 km (202 mi),Stage with mountain(s),Félix Goethals (FRA)
1921,18/07/1921,12,Geneva to Strasbourg,371 km (231 mi),Plain stage,Honoré Barthélemy (FRA)
1921,20/07/1921,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Félix Sellier (BEL)
1921,22/07/1921,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1921,24/07/1921,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Félix Goethals (FRA)
1922,25/06/1922,1,Paris to Le Havre,388 km (241 mi),Plain stage,Robert Jacquinot (FRA)
1922,27/06/1922,2,Le Havre to Cherbourg-en-Cotentin,364 km (226 mi),Plain stage,Romain Bellenger (FRA)
1922,29/06/1922,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Robert Jacquinot (FRA)
1922,01/07/1922,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Philippe Thys (BEL)
1922,03/07/1922,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Jean Alavoine (FRA)
1922,05/07/1922,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Jean Alavoine (FRA)
1922,07/07/1922,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1922,09/07/1922,8,Perpignan to Toulon,411 km (255 mi),Plain stage,Philippe Thys (BEL)
1922,11/07/1922,9,Toulon to Nice,284 km (176 mi),Stage with mountain(s),Philippe Thys (BEL)
1922,13/07/1922,10,Nice to Briançon,274 km (170 mi),Stage with mountain(s),Philippe Thys (BEL)
1922,15/07/1922,11,Briançon to Geneva,260 km (160 mi),Stage with mountain(s),Emile Masson (BEL)}
1922,17/07/1922,12,Geneva to Strasbourg,371 km (231 mi),Plain stage,Emile Masson (BEL)
1922,19/07/1922,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Federico Gay (ITA)
1922,21/07/1922,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Sellier (BEL)
1922,23/07/1922,15,Dunkerque to Paris,340 km (210 mi),Plain stage,Philippe Thys (BEL)
1923,24/06/1923,1,Paris to Le Havre,381 km (237 mi),Plain stage,Robert Jacquinot (FRA)
1923,26/06/1923,2,Le Havre to Cherbourg-en-Cotentin,371 km (231 mi),Plain stage,Ottavio Bottecchia (ITA)
1923,28/06/1923,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Henri Pélissier (FRA)
1923,30/06/1923,4,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Albert Dejonghe (BEL)
1923,02/07/1923,5,Les Sables d'Olonne to Bayonne,482 km (300 mi),Plain stage,Robert Jacquinot (FRA)
1923,04/07/1923,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,06/07/1923,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,08/07/1923,8,Perpignan to Toulon,427 km (265 mi),Plain stage,Lucien Buysse (BEL)
1923,10/07/1923,9,Toulon to Nice,281 km (175 mi),Stage with mountain(s),Jean Alavoine (FRA)
1923,12/07/1923,10,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Henri Pélissier (FRA)
1923,14/07/1923,11,Briançon to Geneva,260 km (160 mi),Stage with mountain(s),Henri Pélissier (FRA)
1923,16/07/1923,12,Geneva to Strasbourg,377 km (234 mi),Plain stage,Joseph Muller (FRA)
1923,18/07/1923,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Romain Bellenger (FRA)
1923,20/07/1923,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Félix Goethals (FRA)
1923,22/07/1923,15,Dunkerque to Paris,343 km (213 mi),Plain stage,Félix Goethals (FRA)
1924,22/06/1924,1,Paris to Le Havre,381 km (237 mi),Plain stage,Ottavio Bottecchia (ITA)
1924,24/06/1924,2,Le Havre to Cherbourg-en-Cotentin,371 km (231 mi),Plain stage,Romain Bellenger (FRA)
1924,26/06/1924,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Philippe Thys (BEL) Théophile Beeckman (BEL)
